strategy,timeframe,rank,total_trades,win_rate,profit_factor,expectancy,max_drawdown,gross_pnl,net_pnl,lookback,rsi_threshold,distance_from_ema20,volume_ratio,bb_std_multiplier,take_profit_pct,stop_loss_pct,max_holding_candles,min_quality_score,min_body_to_range,min_close_location,min_range_expansion,min_atr_expansion,min_ema20_slope_pct,min_ema_alignment_strength,min_breakout_distance_pct
donchian_breakout,15m,12,1102,0.4246823956442831,0.8073815239759771,-0.07225079010008721,81.22552533700825,8.543046528315204,-79.62037069029611,3,,,0.4,,0.012,0.008,24,5,0.6,0.7,1.0,1.0,0.0,0.0,0.0
donchian_breakout,15m,13,916,0.41375545851528384,0.8072164044825387,-0.07319383803413998,71.12560688237025,6.236939136382323,-67.04555563927222,3,,,0.4,,0.012,0.008,24,5,0.6,0.85,1.25,1.0,0.0,0.0,0.0
donchian_breakout,15m,14,1057,0.4219489120151372,0.8061046507375358,-0.07364248056738203,86.34551815043923,6.722587075107224,-77.8401019597228,3,,,0.4,,0.012,0.008,24,5,0.4,0.7,1.25,0.9,0.0,0.0,0.0005
donchian_breakout,15m,15,1134,0.42328042328042326,0.8051809537607917,-0.07361534363003006,88.90490888809151,7.243097562570936,-83.47979967645408,3,,,0.4,,0.012,0.008,24,5,0.4,0.7,1.25,0.9,0.0,0.0,0.0
donchian_breakout,15m,16,1143,0.4251968503937008,0.8021961581723038,-0.07420957568930883,87.45432471126502,6.621103428491388,-84.82154501288,3,,,0.4,,0.012,0.008,24,5,0.6,0.7,1.0,0.9,0.0,0.0,0.0
donchian_breakout,15m,17,992,0.4264112903225806,0.8021946347579592,-0.07559215517991359,76.81383803728116,4.3743317942434015,-74.98741793847428,3,,,0.4,,0.012,0.008,24,5,0.6,0.85,1.0,0.9,0.0,0.0,0.0005
donchian_breakout,15m,18,1067,0.4217432052483599,0.8019293954469188,-0.07521609383492477,82.12340284234338,5.106470466321783,-80.25557212186473,3,,,0.4,,0.012,0.008,24,5,0.6,0.85,1.0,0.9,0.0,0.0,0.0
donchian_breakout,15m,19,1235,0.4242914979757085,0.8008072149965785,-0.07504123937131915,98.08980362580947,6.126519984414603,-92.67593062357915,3,,,0.4,,0.012,0.008,24,4,0.6,0.85,1.25,0.9,0.0,0.0,0.0
donchian_breakout,15m,20,1199,0.41618015012510423,0.7966531341993401,-0.0769916819057528,99.94578021003251,3.6084167617070646,-92.3130266049976,3,,,0.4,,0.012,0.008,24,4,0.6,0.85,1.25,1.0,0.0,0.0,0.0
donchian_breakout,15m,21,982,0.4226069246435845,0.7962006271477028,-0.07772316061975466,85.81736519903104,2.236750971789625,-76.32414372859908,3,,,0.4,,0.012,0.008,24,5,0.4,0.85,1.25,0.9,0.0,0.0,0.0005
donchian_breakout,15m,22,1314,0.4216133942161339,0.7941202639201355,-0.07658486554087472,105.25211470548359,4.489282392247507,-100.63251332070938,3,,,0.4,,0.012,0.008,24,3,0.6,0.85,1.25,1.0,0.0,0.0,0.0
donchian_breakout,15m,23,1080,0.4166666666666667,0.7924419410454026,-0.07938487973436394,89.55728198688357,0.6645957251770194,-85.73567011311304,3,,,0.4,,0.012,0.008,24,5,0.4,0.7,1.25,1.0,0.0,0.0,0.0
donchian_breakout,15m,24,1245,0.42008032128514056,0.7913305264106181,-0.07881349734068682,101.29700751343071,1.4777869256151472,-98.12280418915509,3,,,0.4,,0.012,0.008,24,4,0.4,0.85,1.25,1.0,0.0,0.0,0.0
donchian_breakout,15m,25,1277,0.42129992169146435,0.7912205878470918,-0.07825429368500428,103.2372807582652,2.2301590278606738,-99.93073303575046,3,,,0.4,,0.012,0.008,24,4,0.6,0.7,1.25,0.9,0.0,0.0,0.0
donchian_breakout,15m,26,1138,0.4130052724077329,0.7903789700691407,-0.08023869203511723,99.04354698429579,-0.2717402320562387,-91.3116315359634,3,,,0.4,,0.012,0.008,24,4,0.6,0.85,1.25,1.0,0.0,0.0,0.0005
donchian_breakout,15m,27,1329,0.4221218961625282,0.7902715628542223,-0.07828700806033127,109.56506324405693,2.2774772787312183,-104.04343371218026,3,,,0.4,,0.012,0.008,24,3,0.6,0.85,1.25,0.9,0.0,0.0,0.0
donchian_breakout,15m,28,1181,0.4182895850973751,0.7901649145773711,-0.0798675662451177,99.12889380139873,0.1564668512564846,-94.323595735484,3,,,0.4,,0.012,0.008,24,4,0.6,0.85,1.25,0.9,0.0,0.0,0.0005
donchian_breakout,15m,29,1261,0.422680412371134,0.7898566274255766,-0.07889873188216337,103.67752862592278,1.389254798511383,-99.49130090340802,3,,,0.4,,0.012,0.008,24,4,0.6,0.85,1.0,0.9,0.0,0.0,0.0
donchian_breakout,15m,30,1098,0.4198542805100182,0.7887468665011332,-0.08113316842004473,91.4018763017253,-1.244716811933902,-89.08421892520911,3,,,0.4,,0.012,0.008,24,5,0.4,0.7,1.0,1.0,0.0,0.0,0.0005
donchian_breakout,15m,31,1005,0.41194029850746267,0.7885332885297796,-0.08133101836522892,87.99975230990455,-1.338208740551302,-81.73767345705507,3,,,0.4,,0.012,0.008,24,5,0.4,0.7,1.25,1.0,0.0,0.0,0.0005
donchian_breakout,15m,32,1057,0.41721854304635764,0.7878903614568766,-0.08128111267508435,94.34908666268359,-1.3546779687516837,-85.91413609756417,3,,,0.4,,0.012,0.008,24,5,0.4,0.85,1.25,0.9,0.0,0.0,0.0
donchian_breakout,15m,33,1296,0.41898148148148145,0.7874067094574806,-0.07963270254894976,106.2217219300105,0.47620797975299833,-103.2039825034389,3,,,0.4,,0.012,0.008,24,4,0.6,0.7,1.0,0.9,0.0,0.0,0.0
donchian_breakout,15m,34,1276,0.42476489028213166,0.7865444885415164,-0.08054887369123516,105.6066008745763,-0.700643087250973,-102.78036283001606,3,,,0.4,,0.012,0.008,24,4,0.4,0.85,1.25,0.9,0.0,0.0,0.0
donchian_breakout,15m,35,1251,0.41566746602717825,0.7859769445038441,-0.0806772486803044,104.62948848370871,-0.8475771299127741,-100.9272380990608,3,,,0.4,,0.012,0.008,24,4,0.6,0.7,1.25,1.0,0.0,0.0,0.0
donchian_breakout,15m,36,1063,0.42144873000940736,0.7843086655163918,-0.08328713680284067,93.25108379793585,-3.495624671288157,-88.53422642141963,3,,,0.4,,0.012,0.008,24,5,0.4,0.85,1.0,0.9,0.0,0.0,0.0005
donchian_breakout,15m,37,1087,0.41582336706531736,0.7836063494183783,-0.08315583095285597,95.27661999667346,-3.431760950134496,-90.39038824575444,3,,,0.4,,0.012,0.008,24,5,0.4,0.85,1.0,1.0,0.0,0.0,0.0
donchian_breakout,15m,38,1335,0.41722846441947564,0.7832623071301277,-0.08120174566460367,113.8628105971618,-1.6049724512263948,-108.4043304622459,3,,,0.4,,0.012,0.008,24,3,0.6,0.85,1.0,1.0,0.0,0.0,0.0
donchian_breakout,15m,39,1236,0.41828478964401294,0.783125158372856,-0.08205275279967437,105.95139546262789,-2.53821774749654,-101.41720246039753,3,,,0.4,,0.012,0.008,24,4,0.6,0.85,1.0,1.0,0.0,0.0,0.0
donchian_breakout,15m,40,1281,0.419984387197502,0.7830462164689752,-0.08181112187392861,108.21715686911944,-2.320975510706852,-104.80004712050255,3,,,0.4,,0.012,0.008,24,4,0.4,0.85,1.0,1.0,0.0,0.0,0.0
donchian_breakout,15m,41,1178,0.4168081494057725,0.7824808373672613,-0.08307552145297495,105.01832559968379,-3.6244140372193816,-97.86296427160448,3,,,0.4,,0.012,0.008,24,4,0.6,0.85,1.0,1.0,0.0,0.0,0.0005
donchian_breakout,15m,42,1138,0.421792618629174,0.7822080317815132,-0.08363666476980006,99.2555418845486,-4.140180580264579,-95.17852450803247,3,,,0.4,,0.012,0.008,24,5,0.4,0.7,1.0,0.9,0.0,0.0,0.0005
donchian_breakout,15m,43,1011,0.4124629080118694,0.781895301521213,-0.08450790357827104,90.7421531738637,-4.559314243329364,-85.43749051763201,3,,,0.4,,0.012,0.008,24,5,0.4,0.85,1.0,1.0,0.0,0.0,0.0005
donchian_breakout,15m,44,1272,0.41509433962264153,0.7817162814654014,-0.08219897418653653,108.45451459184612,-2.7982144510549096,-104.55709516527448,3,,,0.4,,0.012,0.008,24,4,0.6,0.7,1.0,1.0,0.0,0.0,0.0
donchian_breakout,15m,45,1190,0.41008403361344536,0.7816549632995834,-0.08385586658181093,105.19609268172594,-4.590317359298741,-99.78848123235501,3,,,0.4,,0.012,0.008,24,4,0.4,0.85,1.25,1.0,0.0,0.0,0.0005
donchian_breakout,15m,46,1318,0.4195751138088012,0.780822135042551,-0.08261708094979861,111.19345935363344,-3.450692969022185,-108.88931269183456,3,,,0.4,,0.012,0.008,24,4,0.4,0.7,1.25,0.9,0.0,0.0,0.0
donchian_breakout,15m,47,1302,0.4216589861751152,0.779978360187624,-0.08271848309393981,110.23689473692652,-3.5408813408459743,-107.69946498830963,3,,,0.4,,0.012,0.008,24,4,0.4,0.85,1.0,0.9,0.0,0.0,0.0
donchian_breakout,15m,48,1330,0.418796992481203,0.7799149664843577,-0.08268507174381635,112.27529208107465,-3.5725744490553835,-109.97114541927576,3,,,0.4,,0.012,0.008,24,4,0.4,0.7,1.0,0.9,0.0,0.0,0.0
donchian_breakout,15m,49,1198,0.41318864774624375,0.7797537794518218,-0.08408440663321998,106.44299852116349,-4.8950771774685355,-100.73311914659753,3,,,0.4,,0.012,0.008,24,4,0.6,0.7,1.25,1.0,0.0,0.0,0.0005
