strategy,timeframe,rank,total_trades,win_rate,profit_factor,expectancy,max_drawdown,gross_pnl,net_pnl,lookback,rsi_threshold,distance_from_ema20,volume_ratio,bb_std_multiplier,take_profit_pct,stop_loss_pct,max_holding_candles
mean_reversion,1m,26,3081,0.37520285621551447,0.46536041088901814,-0.07766533066651736,239.67061638503188,7.195994614305733,-239.28688378354,,25,-0.0015,0.8,,0.003,0.002,20
mean_reversion,1m,27,2514,0.42601431980906923,0.4652046065260715,-0.07367550051824329,185.8459299303035,15.906154158799906,-185.22020830286363,,25,-0.002,0.8,,0.0025,0.002,15
mean_reversion,1m,28,3948,0.37462006079027355,0.4629905475289756,-0.07877405293332859,311.4131337738881,4.841975809542557,-310.9999609807813,,30,-0.0015,1.0,,0.003,0.002,20
mean_reversion,1m,29,3357,0.4226988382484361,0.45831136341280604,-0.07609571357934115,255.7489681864515,13.111934287866903,-255.45331048584825,,30,-0.002,0.8,,0.0025,0.002,15
mean_reversion,1m,30,4200,0.37214285714285716,0.4579011474968787,-0.0801217620654595,336.8665262021997,-0.5116053170567353,-336.5114006749299,,30,-0.0015,0.8,,0.003,0.002,20
mean_reversion,1m,31,3974,0.3759436336185204,0.45439432856409173,-0.07668835239294881,305.11794041189466,13.165753891978218,-304.7595124095786,,30,-0.0015,1.0,,0.003,0.002,15
mean_reversion,1m,32,4900,0.37714285714285717,0.4525812239295975,-0.0776051943116983,381.2494754566658,11.739243570106433,-380.2654521273216,,35,-0.0015,1.0,,0.003,0.002,15
mean_reversion,1m,33,5228,0.375478194338179,0.4509227666675267,-0.07831453123237928,409.86677931449503,8.815156779833076,-409.42836928287886,,35,-0.0015,0.8,,0.003,0.002,15
mean_reversion,1m,34,2918,0.3766278272789582,0.4490269197998493,-0.07656819733634933,223.9568954730265,10.018007375482869,-223.42599982746734,,25,-0.0015,1.0,,0.003,0.002,15
mean_reversion,1m,35,4227,0.37189496096522356,0.44869125693495615,-0.0782069200026728,330.91645800676247,7.582382101542656,-330.58065085129795,,30,-0.0015,0.8,,0.003,0.002,15
mean_reversion,1m,36,3092,0.3738680465717982,0.4468795559534475,-0.07738398722294787,239.80218413891436,8.091948285959567,-239.27128849335483,,25,-0.0015,0.8,,0.003,0.002,15
mean_reversion,1m,37,4932,0.4081508515815085,0.4402031998061949,-0.07908122900602713,390.93702256364605,4.533191819001844,-390.02862145772576,,35,-0.0015,1.0,,0.0025,0.002,20
mean_reversion,1m,38,5273,0.408496112270055,0.439337369598264,-0.07951141834562722,419.77340893650677,2.5773219923046162,-419.2637089364923,,35,-0.0015,0.8,,0.0025,0.002,20
mean_reversion,1m,39,2922,0.4048596851471595,0.43802222939619,-0.07788505976918729,228.02009133079335,6.182328285749054,-227.58014464556527,,25,-0.0015,1.0,,0.0025,0.002,20
mean_reversion,1m,40,3104,0.40496134020618557,0.4369048568569362,-0.07847465109224148,243.9686341793078,4.73657764073876,-243.58531699031755,,25,-0.0015,0.8,,0.0025,0.002,20
mean_reversion,1m,41,3996,0.4044044044044044,0.4357509666704441,-0.07936414416656501,317.47892008960173,2.5418966690738722,-317.1391200895938,,30,-0.0015,1.0,,0.0025,0.002,20
mean_reversion,1m,42,4976,0.4065514469453376,0.4303841184013174,-0.07766316881081653,387.0678935225257,11.632725087411929,-386.45192800262305,,35,-0.0015,1.0,,0.0025,0.002,15
mean_reversion,1m,43,4254,0.4017395392571697,0.4301215151842561,-0.0808811349014466,344.40814787076306,-3.749847809877832,-344.0683478707539,,30,-0.0015,0.8,,0.0025,0.002,20
mean_reversion,1m,44,4021,0.403630937577717,0.4292771082953206,-0.07737311958195774,311.40314099451973,10.566912926118423,-311.11731383905203,,30,-0.0015,1.0,,0.0025,0.002,15
mean_reversion,1m,45,5319,0.4047753337093439,0.42714207051632935,-0.0785796045692926,418.42064385954086,7.55810653854813,-417.9649167040673,,35,-0.0015,0.8,,0.0025,0.002,15
mean_reversion,1m,46,2934,0.4014996591683708,0.4239865214446498,-0.07713189268529583,226.73590878421822,8.418394219029649,-226.30497313865797,,25,-0.0015,1.0,,0.0025,0.002,15
mean_reversion,1m,47,4278,0.39925198690977093,0.42211785692770765,-0.07915344519445933,338.90426569736564,3.6230106623680114,-338.618438541897,,30,-0.0015,0.8,,0.0025,0.002,15
mean_reversion,1m,48,3115,0.3993579454253612,0.4216787249032275,-0.07799926868798396,243.3986576086309,6.2347719457082755,-242.96772196307003,,25,-0.0015,0.8,,0.0025,0.002,15
