strategy,rank,total_trades,win_rate,profit_factor,expectancy,max_drawdown,gross_pnl,net_pnl,lookback,rsi_threshold,distance_from_ema20,volume_ratio,bb_std_multiplier,take_profit_pct,stop_loss_pct,max_holding_candles
donchian_breakout,57,3910,0.31150895140664964,0.48631871250167025,-0.08229463971417102,322.28782564858676,-8.975631535022679,-321.7720412824087,20,,,1.0,,0.006,0.003,30
donchian_breakout,58,4159,0.30391921134888195,0.48232397639387475,-0.08055979444412287,336.2262529621361,-2.3291167398029122,-335.048185093107,10,,,1.2,,0.006,0.0025,30
donchian_breakout,59,3956,0.29979777553083925,0.4822734837021826,-0.08086202617209436,320.68648222693395,-3.4115401528664,-319.89017553680526,20,,,1.0,,0.006,0.0025,30
donchian_breakout,60,3669,0.3101662578359226,0.48205048715497945,-0.08160700793023812,299.68591811811007,-5.898471484637519,-299.41611209604366,30,,,1.0,,0.004,0.002,45
donchian_breakout,61,4386,0.3123575011399909,0.4786551743844727,-0.0834758057389325,367.0719085741213,-15.250984364703859,-366.12488397095797,10,,,1.0,,0.006,0.003,30
donchian_breakout,62,4218,0.4039829302987198,0.47798299185186444,-0.08399606158347792,354.3669397523254,-16.862132612154735,-354.2953877591099,10,,,1.2,,0.003,0.003,45
donchian_breakout,63,3712,0.3098060344827586,0.4769195560560171,-0.08457043208865889,315.9376676418255,-16.972232806224273,-313.9254439131018,10,,,1.5,,0.006,0.003,30
donchian_breakout,64,3479,0.29807415924116126,0.4753088016348715,-0.0822425702301193,287.3662530936152,-7.805023840121101,-286.12190183058505,30,,,1.2,,0.006,0.0025,30
donchian_breakout,65,3758,0.29882916444917507,0.475056964404252,-0.08244620552533798,311.78490814691907,-9.1965189718088,-309.8328403642201,10,,,1.5,,0.006,0.0025,30
donchian_breakout,66,4277,0.3432312368482581,0.4749605658400885,-0.08175239320940143,349.65834505461044,-7.497984950590114,-349.6549857566099,10,,,1.2,,0.004,0.003,30
donchian_breakout,67,3471,0.29818496110630943,0.4749421201387288,-0.0829208620595693,289.22116872223205,-10.14236915642766,-287.81831220876506,20,,,1.5,,0.006,0.0025,30
donchian_breakout,68,3448,0.30771461716937354,0.47462107313968765,-0.08512504171520582,294.6748927731103,-17.67821512007769,-293.51114383402967,30,,,1.2,,0.006,0.003,30
donchian_breakout,69,3850,0.28493506493506493,0.47358546266092855,-0.07890398825356514,304.4036161268025,4.221333757277169,-303.78035477622575,20,,,1.2,,0.006,0.002,30
donchian_breakout,70,4463,0.3013667936365673,0.473560944271205,-0.08211838092054474,367.1713052934901,-9.458117295309325,-366.4943340483912,10,,,1.0,,0.006,0.0025,30
donchian_breakout,71,4341,0.33264224832987793,0.47268513584780514,-0.07968426082533571,345.9317641565697,1.3711722261081385,-345.9093762427823,10,,,1.2,,0.004,0.0025,30
donchian_breakout,72,3592,0.3056792873051225,0.47223344879549023,-0.08528840574520019,307.1398223758397,-19.003554858702543,-306.3559534367591,30,,,1.0,,0.006,0.003,30
donchian_breakout,73,4302,0.38493723849372385,0.47198703407843673,-0.08248406598754843,354.9180038716499,-10.690728169701254,-354.84645187843336,10,,,1.2,,0.003,0.0025,45
